Age report
1 January 2025 - 6 March 2026
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,45 - 54,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,55 - 64,(#1) Video Ad - India - 2023-10-04,In-Market,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,55 - 64,(#1) Video Ad - India - 2023-10-04,Keywords,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,65+,(#1) Video Ad - India - 2023-10-04,Keywords,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,55 - 64,(#1) Video Ad - India - 2023-10-04,Custom Audience,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Ages,,,,,,THB,0.04,"8,875,411","2,166,154",24.41%,0.05,114910.24,29.67%,"642,718.50",0.18
Total: Display automatic targeting,,,,,,THB,0,"152,562","3,955",2.59%,0.26,1025.74,65.02%,"2,571.43",0.40
Total: Account,,,,,,THB,0.04,"8,875,411","2,166,154",24.41%,0.05,114910.24,29.67%,"642,718.50",0.18
Total: Performance Max,,,,,,THB,0.03,"8,836,287","2,148,591",24.32%,0.05,108143.04,29.91%,"642,718.50",0.17
Total: Search,,,,,,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: In-stream video,,,,,,THB,0.45,"39,124","17,563",44.89%,0.39,6767.20,0.00%,0.00,0.00
