# ----------------------------------------
# User acquisition: First user primary channel group (Default channel group)
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
First user source / medium,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
lnkd.in / referral,11,0,0,1.0909090909090908,0.5454545454545454,16,2,0.09090909090909091
AFB Bef / Fbdvby Zfevb,10,0,0,0,0.1,10,0,0
DMPU / affiliate promotion,10,0,0,3.7,0.2,11,0,0
conversation_mailer / email,10,0,1,0,0,32,0,0
esp / Email,10,0,0,0,0,13,0,0
googleads.g.doubleclick.net / referral,10,0,0,0.3,0.2,11,0,0
recyclecolorado.org / referral,10,0,1,18.2,0.9,20,5,0.3
zalo / zalo,9,0,1,19.88888888888889,0.4444444444444444,15,3,0.1111111111111111
apis.mail.yahoo.com / referral,8,0,0,35.5,0.75,30,21,0.25
bic.moe.go.th / referral,8,0,1,0,0.5,29,0,0
get-qr.com / referral,8,0,0,0,0.375,10,0,0
id.search.yahoo.com / referral,8,0,2,59.25,0.625,38,4,0.25
l.workplace.com / referral,8,0,2,0,0,45,0,0
ph.search.yahoo.com / referral,8,0,1,71.5,1.375,59,26,0.375
web.yammer.com / referral,8,0,0,58.25,0.75,19,11,0.5
adclick.g.doubleclick.net / referral,7,0,0,0,0,7,0,0
m.youtube.com / referral,7,0,1,2,0.7142857142857143,9,1,0.14285714285714285
cn.bing.com / referral,6,0,0,0,0.5,6,0,0
Brainfeed (Article) / Brainfeed (Article),5,0,2,71.4,1.2,29,19,0.2
gbc-word-edit.officeapps.live.com / referral,5,0,0,7.8,0.8,7,2,0.2
mikesnews.co.nz / referral,5,0,0,5.2,1,6,1,0.2
moe.go.th / referral,5,0,1,0,0,18,0,0
techsauce.co / referral,5,0,0,15.2,0.4,10,2,0.2
FubefZlYfffba Dbzcbvta / FubefZlYfffba Dbzcbvta,4,0,0,0,0,4,0,0
br.search.yahoo.com / referral,4,0,2,57.25,1,13,0,0
classroom.google.com / referral,4,0,0,40.25,0.25,18,12,0.25
dnserrorassist.att.net / referral,4,0,2,42.5,1,9,4,0.25
gstatic.com / referral,4,0,1,0,1.5,24,0,0
luma.com / referral,4,0,0,11.5,0.75,10,3,0.25
mgronline.com / referral,4,0,0,6,0.75,13,1,0.25
mx.search.yahoo.com / referral,4,0,1,27.5,1.25,18,10,0.5
tricityecology.org / referral,4,0,0,18.75,0.75,11,5,0.5
web.telegram.org / referral,4,0,3,177.5,2.5,40,26,0.75
www-wasteheroeducation-com.translate.goog / referral,4,0,2,63.75,1,12,4,0.5
(AFB) Be Dbzcbvta / (AFB) Be Dbzcbvta,3,0,0,0,0,3,0,0
(NEA) Ad Campaign / (not set),3,0,0,0,0,3,0,0
GovDelivery / email,3,0,1,11.333333333333334,0.6666666666666666,7,1,0.3333333333333333
Gulo (Campaign) / Gulo (Campaign),3,0,1,0,0.6666666666666666,4,0,0
